id,name,last_name
1,John,Adams
2,Samuel,Adams
3,Gunning,Bedford
4,John,Carlyle
5,Congress,"Committee of"
6,Nicholas,Cooke
7,Thomas,Cushing
8,John,Dalton
9,Ephraim,Doolittle
10,"Volkert P.",Douw
11,Turbutt,Francis
12,Benjamin,Franklin
13,Maryland,"Frederick County Committee"
14,Elbridge,Gerry
15,James,Green
16,John,Hancock
17,John,"Hanson Jr."
18,John,Haring
19,Benjamin,Harrison
20,Joseph,Hawley
21,George,Hayley
22,Robert,Hoops
23,Abraham,Hunt
24,James,Kirk
25,Pennsylvania,"Lancaster Committee"
26,John,Langdon
27,Samuel,Langdon
28,Arthur,Lee
29,Christopher,Leffingswell
30,"Peter Van Brugh",Livingston
31,"Robert R.",Livingston
32,Walter,Livingston
33,"William Alexander",Stirling
34,Thomas,Lynch
35,George,Mason
36,"Samuel S.",McCroskey
37,Francis,Moorse
38,John,Muir
39," ","New York Committee of Safety"
40,,"New York Provincial Congress"
41,"Sr. James",Otis
42,"Robert Treat",Paine
43,Richard,Penn
44,William,Ramsay
45,James,Scott
46,Isaac,Smith
47,Jonathan,Trumbull
48,Joseph,Trumbull
49,Samuel,Tucker
50,"R. Nathanial",Wales
51,Artemas,Ward
52,James,Warren
53,William,Williams
54,David,Wooster
55,Nathaniel,Woodhull
