id,name
1,"American Antiquarian Society"
2,"Boston Public Library"
3,"Connecticut Museum of Culture and History"
4,"Harvard University"
5,"Haverford College"
6,"Heritage Auctions"
7,"Historical Society of Pennsylvania"
8,"Lexington Historical Society"
9,"Library of Congress"
10,"Massachusetts Archives"
11,"Massachusetts Historical Society"
12,"National Archives (US)"
13,"New York Historical Society"
14,"New York Public Library"
15,"Raab Collection"
16,"Rosenbach Museum & Library, Philadelphia"
17,Transcripts
18,"Yale University"
